,Position,Velocity,Torque,Current
0,1995752.0,0.0,0.0,0.0
1,1995752.0,0.0,0.0,0.0
2,1995752.0,0.0,0.0,0.0
3,1995752.0,0.0,0.0,0.0
4,1995752.0,0.0,0.0,0.0
5,1995752.0,0.0,0.0,0.0
6,1995752.0,0.0,0.0,8.8
7,1995752.0,0.0,0.32,46.2
8,1995753.0,250.0,1.92,117.7
9,1995754.0,500.0,3.84,227.7
10,1995758.0,1500.0,6.4,370.7
11,1995764.0,3000.0,8.96,547.8
12,1995774.0,5250.0,11.84,757.9
13,1995787.0,8250.0,15.68,1001.0
14,1995806.0,12000.0,19.52,1273.8
15,1995834.0,17500.0,24.32,1575.2
16,1995870.0,24000.0,30.08,1894.2
17,1995914.0,31750.0,35.52,2214.3
18,1995971.0,41250.0,39.04,2519.0
19,1996037.0,50750.0,41.6,2814.9
20,1996118.0,62000.0,43.52,3093.2
21,1996213.0,74750.0,44.8,3357.2
22,1996332.0,90250.0,44.48,3593.7
23,1996475.0,109500.0,43.84,3804.9
24,1996641.0,130750.0,41.92,3989.7
25,1996827.0,153500.0,40.64,4153.6
26,1997034.0,175500.0,38.72,4293.3
27,1997258.0,195750.0,35.84,4415.4
28,1997496.0,213750.0,34.56,4521.0
29,1997748.0,230250.0,33.28,4612.3
30,1998012.0,244500.0,32.32,4689.3
31,1998287.0,257250.0,31.04,4755.3
32,1998569.0,268250.0,30.72,4812.5
33,1998862.0,278500.0,30.4,4858.7
34,1999163.0,287750.0,30.08,4895.0
35,1999472.0,296250.0,28.8,4923.6
36,1999790.0,305250.0,24.64,4941.2
37,2000114.0,313000.0,24.0,4953.3
38,2000444.0,320250.0,22.72,4957.7
39,2000778.0,326500.0,21.44,4958.8
40,2001117.0,331750.0,21.12,4953.3
41,2001456.0,335500.0,20.48,4948.9
42,2001796.0,338000.0,20.16,4942.3
43,2002137.0,339750.0,19.84,4935.7
44,2002475.0,339500.0,15.68,4931.3
45,2002811.0,338750.0,15.68,4930.2
46,2003147.0,337750.0,15.68,4928.0
47,2003478.0,335250.0,16.0,4932.4
48,2003809.0,333500.0,17.28,4935.7
49,2004138.0,331750.0,18.24,4942.3
50,2004468.0,330250.0,18.56,4946.7
51,2004797.0,329750.0,19.2,4953.3
52,2005127.0,329500.0,15.68,4957.7
53,2005459.0,330250.0,15.68,4961.0
54,2005789.0,330250.0,16.32,4965.4
55,2006123.0,331500.0,16.32,4966.5
56,2006456.0,332250.0,17.28,4967.6
57,2006791.0,333000.0,17.6,4967.6
58,2007128.0,334750.0,17.92,4964.3
59,2007463.0,335000.0,18.24,4964.3
60,2007800.0,336000.0,16.0,4961.0
61,2008137.0,336500.0,15.36,4958.8
62,2008469.0,335250.0,16.0,4961.0
63,2008803.0,335000.0,16.64,4962.1
64,2009134.0,333500.0,17.28,4965.4
65,2009463.0,331500.0,17.6,4972.0
66,2009790.0,330250.0,17.92,4979.7
67,2010117.0,328500.0,18.56,4988.5
68,2010444.0,327500.0,17.28,4996.2
69,2010769.0,326500.0,16.96,5007.2
70,2011099.0,327250.0,16.96,5011.6
71,2011426.0,327250.0,16.64,5020.4
72,2011757.0,328250.0,16.64,5023.7
73,2012087.0,329500.0,16.64,5029.2
74,2012416.0,329250.0,16.0,5034.7
75,2012746.0,330000.0,15.68,5040.2
76,2013071.0,328500.0,15.36,5050.1
77,2013397.0,327500.0,15.36,5060.0
78,2013719.0,325750.0,14.4,5073.2
79,2014041.0,323750.0,15.36,5087.5
80,2014359.0,322000.0,15.68,5105.1
81,2014678.0,320250.0,15.68,5122.7
82,2014995.0,319000.0,16.0,5141.4
83,2015314.0,318250.0,16.32,5159.0
84,2015632.0,318250.0,16.96,5176.6
85,2015955.0,319250.0,17.28,5189.8
86,2016276.0,320250.0,16.32,5204.1
87,2016602.0,322000.0,16.96,5214.0
88,2016926.0,323500.0,17.28,5225.0
89,2017255.0,325000.0,16.64,5231.6
90,2017583.0,326750.0,16.32,5238.2
91,2017912.0,327500.0,16.0,5244.8
92,2018242.0,329000.0,16.96,5249.2
93,2018571.0,329000.0,18.24,5255.8
94,2018901.0,329500.0,17.92,5260.2
95,2019227.0,328750.0,18.24,5270.1
96,2019555.0,328250.0,18.88,5276.7
97,2019879.0,327000.0,18.24,5288.8
98,2020203.0,325500.0,18.24,5299.8
99,2020525.0,324500.0,18.56,5314.1
100,2020849.0,323500.0,18.56,5325.1
101,2021173.0,323500.0,21.44,5337.2
102,2021500.0,324250.0,21.12,5344.9
103,2021830.0,326250.0,20.48,5350.4
104,2022161.0,328000.0,19.52,5353.7
105,2022497.0,331000.0,18.24,5352.6
106,2022835.0,333750.0,16.96,5348.2
107,2023175.0,336250.0,16.0,5342.7
108,2023518.0,339250.0,15.04,5332.8
109,2023860.0,340750.0,16.64,5325.1
110,2024202.0,341750.0,15.68,5316.3
111,2024544.0,342250.0,14.72,5308.6
112,2024885.0,341750.0,14.4,5300.9
113,2025224.0,341000.0,14.08,5296.5
114,2025564.0,340500.0,14.08,5289.9
115,2025901.0,339250.0,14.08,5287.7
116,2026239.0,338500.0,13.76,5283.3
117,2026578.0,338500.0,14.72,5278.9
118,2026914.0,337500.0,14.72,5276.7
119,2027253.0,338000.0,14.4,5272.3
120,2027592.0,338250.0,14.08,5266.8
121,2027929.0,337750.0,14.72,5264.6
122,2028268.0,338500.0,14.72,5259.1
123,2028607.0,338500.0,15.36,5254.7
124,2028944.0,338000.0,15.36,5251.4
125,2029282.0,338250.0,15.04,5248.1
126,2029618.0,337500.0,16.0,5245.9
127,2029952.0,336250.0,16.0,5247.0
128,2030285.0,335250.0,16.0,5248.1
129,2030613.0,332750.0,16.96,5255.8
130,2030941.0,330750.0,17.6,5262.4
131,2031264.0,328000.0,18.24,5275.6
132,2031590.0,326250.0,19.2,5284.4
133,2031912.0,324750.0,18.24,5298.7
134,2032236.0,323750.0,19.52,5309.7
135,2032561.0,324250.0,19.84,5320.7
136,2032888.0,324500.0,18.56,5328.4
137,2033218.0,326500.0,19.2,5333.9
138,2033547.0,327750.0,19.2,5339.4
139,2033880.0,329750.0,19.2,5341.6
140,2034210.0,330500.0,19.2,5346.0
141,2034543.0,331250.0,19.2,5348.2
142,2034873.0,331500.0,16.64,5352.6
143,2035204.0,331000.0,17.28,5357.0
144,2035533.0,330750.0,16.64,5362.5
145,2035858.0,328750.0,17.92,5373.5
146,2036186.0,328250.0,18.88,5380.1
147,2036510.0,326500.0,19.52,5392.2
148,2036838.0,326250.0,19.84,5398.8
149,2037165.0,326750.0,16.0,5407.6
150,2037494.0,327000.0,17.6,5413.1
151,2037825.0,328750.0,18.56,5417.5
152,2038157.0,329750.0,17.92,5419.7
153,2038493.0,332000.0,17.6,5418.6
154,2038831.0,334250.0,18.56,5414.2
155,2039171.0,336500.0,19.2,5408.7
156,2039513.0,339000.0,19.2,5399.9
157,2039857.0,341000.0,17.6,5390.0
158,2040201.0,342500.0,16.0,5379.0
159,2040547.0,344000.0,16.96,5366.9
160,2040893.0,345000.0,16.96,5353.7
161,2041238.0,345250.0,16.64,5342.7
162,2041582.0,345250.0,17.28,5331.7
163,2041925.0,344500.0,17.6,5322.9
164,2042263.0,342500.0,17.28,5318.5
165,2042603.0,341250.0,17.28,5313.0
166,2042941.0,339750.0,16.64,5308.6
167,2043277.0,338000.0,16.96,5307.5
168,2043615.0,338000.0,17.28,5303.1
169,2043953.0,337500.0,16.32,5299.8
170,2044292.0,337750.0,16.32,5294.3
171,2044632.0,338750.0,16.0,5288.8
172,2044969.0,338500.0,15.68,5285.5
173,2045307.0,338500.0,15.04,5282.2
174,2045644.0,338000.0,14.72,5278.9
175,2045975.0,335750.0,14.72,5283.3
176,2046307.0,334500.0,15.36,5285.5
177,2046635.0,332000.0,15.36,5293.2
178,2046962.0,329500.0,14.72,5300.9
179,2047286.0,327750.0,15.04,5313.0
180,2047610.0,325750.0,15.36,5324.0
181,2047935.0,325000.0,15.68,5335.0
182,2048259.0,324250.0,16.0,5346.0
183,2048585.0,324750.0,16.64,5355.9
184,2048910.0,325000.0,17.28,5365.8
185,2049240.0,326250.0,17.92,5371.3
186,2049569.0,327500.0,16.32,5376.8
187,2049902.0,329250.0,15.68,5379.0
188,2050235.0,331250.0,15.68,5380.1
189,2050568.0,332000.0,15.68,5382.3
190,2050902.0,333250.0,17.28,5382.3
191,2051234.0,333000.0,17.6,5385.6
192,2051568.0,333250.0,18.56,5385.6
193,2051900.0,333000.0,18.88,5388.9
194,2052232.0,332500.0,17.6,5391.1
195,2052561.0,331750.0,17.28,5397.7
196,2052887.0,329750.0,17.6,5406.5
197,2053215.0,328750.0,17.6,5414.2
198,2053540.0,327000.0,19.84,5424.1
199,2053868.0,326750.0,20.48,5431.8
200,2054196.0,327250.0,20.8,5438.4
201,2054527.0,328000.0,21.12,5442.8
202,2054863.0,330750.0,19.52,5440.6
203,2055199.0,332750.0,17.28,5439.5
204,2055540.0,336000.0,16.64,5431.8
205,2055883.0,339000.0,15.68,5423.0
206,2056225.0,340500.0,16.32,5414.2
207,2056569.0,342500.0,16.0,5404.3
208,2056914.0,343500.0,15.68,5392.2
209,2057255.0,343000.0,15.36,5385.6
210,2057598.0,343250.0,14.72,5375.7
211,2057940.0,342750.0,13.76,5368.0
212,2058279.0,341250.0,13.76,5362.5
213,2058620.0,341250.0,13.76,5355.9
214,2058960.0,340500.0,14.08,5349.3
215,2059298.0,339500.0,14.08,5346.0
216,2059638.0,339750.0,14.4,5339.4
217,2059977.0,339250.0,14.72,5335.0
218,2060315.0,338750.0,15.68,5330.6
219,2060656.0,339500.0,14.72,5324.0
220,2060997.0,339750.0,14.72,5316.3
221,2061336.0,339750.0,14.72,5311.9
222,2061677.0,340500.0,14.72,5304.2
223,2062016.0,340000.0,15.04,5299.8
224,2062353.0,339000.0,15.04,5296.5
225,2062689.0,338250.0,15.68,5295.4
226,2063022.0,336250.0,17.28,5296.5
227,2063354.0,334500.0,17.6,5299.8
228,2063684.0,332750.0,17.6,5304.2
229,2064009.0,330000.0,18.24,5315.2
230,2064336.0,328500.0,17.6,5322.9
231,2064659.0,326250.0,18.24,5336.1
232,2064985.0,325250.0,19.2,5344.9
233,2065309.0,325000.0,19.52,5357.0
234,2065638.0,325500.0,20.16,5362.5
235,2065967.0,327000.0,20.48,5369.1
236,2066298.0,328250.0,19.52,5372.4
237,2066632.0,330750.0,19.52,5373.5
238,2066963.0,331250.0,17.28,5376.8
239,2067295.0,332000.0,16.64,5380.1
240,2067626.0,332000.0,16.96,5383.4
241,2067956.0,331000.0,16.96,5388.9
242,2068285.0,330500.0,18.24,5394.4
243,2068613.0,329500.0,19.2,5402.1
244,2068941.0,328750.0,19.52,5408.7
245,2069266.0,327500.0,19.52,5419.7
246,2069595.0,327500.0,20.48,5425.2
247,2069921.0,327000.0,16.96,5435.1
248,2070251.0,327500.0,17.6,5439.5
249,2070582.0,329000.0,17.92,5443.9
250,2070915.0,330000.0,18.24,5445.0
251,2071251.0,332500.0,19.84,5443.9
252,2071587.0,334000.0,20.16,5441.7
253,2071929.0,336750.0,18.88,5434.0
254,2072273.0,339500.0,17.92,5423.0
255,2072616.0,341250.0,16.0,5414.2
256,2072962.0,343750.0,16.32,5401.0
257,2073309.0,345000.0,16.64,5387.8
258,2073655.0,345500.0,16.96,5374.6
259,2073999.0,345750.0,17.92,5364.7
260,2074344.0,345500.0,18.56,5352.6
